id,title,price,promo_price,url
24451,Пюре Бабушкино лукошко цыпленок с 6 мес+ 100 г,104.9,,https://www.detmir.ru/product/index/id/24451/
3298586,Биологически активная добавка Бак-Сет Беби 10саше,749.0,549.0,https://www.detmir.ru/product/index/id/3298586/
3101431,Каша ФрутоНяня безмолочная кукурузная с пребиотиком витаминами и минеральными веществами 180г с 5месяцев,122.9,71.1,https://www.detmir.ru/product/index/id/3101431/
428291,Напиток молочный сухой Малыш Истринский Истринский 3 350г с 12 месяцев,225.0,,https://www.detmir.ru/product/index/id/428291/
3867251,Пюре ФрутоНяня говядина-рис-овощи 190г с 8месяцев,113.9,89.9,https://www.detmir.ru/product/index/id/3867251/
500861,Пюре Gerber брокколи 80г,103.9,77.9,https://www.detmir.ru/product/index/id/500861/
12371,Смесь NAN 1 400г с 0месяцев,669.0,635.0,https://www.detmir.ru/product/index/id/12371/
3257797,Пюре ФрутоНяня Шарлотка яблоко с печеньем 90г с 6месяцев,59.9,44.9,https://www.detmir.ru/product/index/id/3257797/
453571,Пюре Агуша яблоко 115г с 4 месяцев,44.9,36.9,https://www.detmir.ru/product/index/id/453571/
3538016,Смесь Similac Голд 2 1200г с 6месяцев,1353.0,,https://www.detmir.ru/product/index/id/3538016/
3202515,Каша безмолочная Gerber мультизлаковая чернослив-яблоко 180г с 6месяцев,351.0,,https://www.detmir.ru/product/index/id/3202515/
3148984,Каша молочная Heinz рисовая с грушей 200 г с 4 месяцев,229.0,155.7,https://www.detmir.ru/product/index/id/3148984/
2796861,Пюре Gerber цыплёнок 80 г с 6 месяцев,195.9,131.9,https://www.detmir.ru/product/index/id/2796861/
3178725,Бутылочка Philips Avent Anti-colic 260мл с 1месяца SCF813/17,689.0,649.0,https://www.detmir.ru/product/index/id/3178725/
3138960,Каша безмолочная Nutrilon кукурузная 180г с 5месяцев,245.0,198.9,https://www.detmir.ru/product/index/id/3138960/
3141230,Пюре Бабушкино лукошко овощное с индейкой и рисом 190г с 9 месяцев,140.9,,https://www.detmir.ru/product/index/id/3141230/
24381,Пюре Бабушкино лукошко рагу индейка-овощи 100г с 6месяцев,79.9,,https://www.detmir.ru/product/index/id/24381/
3464582,Каша молочная Gerber мультизлаковая с яблоком и малиной 180г с 6месяцев,351.0,237.0,https://www.detmir.ru/product/index/id/3464582/
3188086,Смесь Friso Gold 1 LockNutri 1200г с 0месяцев,1321.0,,https://www.detmir.ru/product/index/id/3188086/
3486232,Смесь кисломолочная Nutrilon 2 350г с 6месяцев,629.0,,https://www.detmir.ru/product/index/id/3486232/
3455903,Молокоотсос BabyGo ручной с бутылочкой O4-0040,1059.0,699.0,https://www.detmir.ru/product/index/id/3455903/
1056431,Пюре Gerber брокколи-кабачок 130г с 5месяцев,147.7,121.9,https://www.detmir.ru/product/index/id/1056431/
1796431,Пюре ФрутоНяня салатик со смородиной 90 г с 5 месяцев,59.9,44.9,https://www.detmir.ru/product/index/id/1796431/
511651,Пюре ФрутоНяня витаминный салатик с шиповником 90 г с 5 месяцев,59.9,44.9,https://www.detmir.ru/product/index/id/511651/
500821,Пюре Gerber овощной салатик 130г,147.7,113.9,https://www.detmir.ru/product/index/id/500821/
4018747,Кашка безмолочная ФрутоНяня овсяная с яблоком-земляникой-малиной-черникой 0.2л с 6месяцев,49.9,36.5,https://www.detmir.ru/product/index/id/4018747/
4462310,Молоко Бибиколь Амалтея козье сухое цельное 400г,1555.0,1147.0,https://www.detmir.ru/product/index/id/4462310/
24421,Пюре Бабушкино лукошко тыква для детей с 5 месяцев 100 г,59.9,49.9,https://www.detmir.ru/product/index/id/24421/
512051,Пюре Gerber чернослив 80г,103.9,83.9,https://www.detmir.ru/product/index/id/512051/
3256280,Смесь Friso Gold 3 LockNutri 400г с 12месяцев,1199.0,615.0,https://www.detmir.ru/product/index/id/3256280/
3178733,Бутылочка Philips Avent Natural2 125мл с 0месяцев 2шт SCF030/27,1379.0,899.0,https://www.detmir.ru/product/index/id/3178733/
24411,Пюре Бабушкино лукошко треска-картофель для детей с 8 месяцев 100 г,84.9,71.9,https://www.detmir.ru/product/index/id/24411/
3202510,Каша безмолочная Gerber гречка 180г с 4месяцев,289.0,,https://www.detmir.ru/product/index/id/3202510/
13051,Каша Heinz йогуртовая многозерновая с малиной и черникой 200г с 12месяцев,259.0,176.1,https://www.detmir.ru/product/index/id/13051/
3188082,Смесь Friso Gold 1 LockNutri 400г с 0месяцев,625.0,,https://www.detmir.ru/product/index/id/3188082/
3286071,Соска Pigeon LL c 9месяцев 3349078544,759.0,489.0,https://www.detmir.ru/product/index/id/3286071/
24481,Пюре Бабушкино лукошко кролик-овощи для детей с 6 месяцев 100 г,101.9,92.9,https://www.detmir.ru/product/index/id/24481/
1773331,Каша молочная Kabrita 7 злаков на козьем молоке банан 180г с 6месяцев,995.0,347.0,https://www.detmir.ru/product/index/id/1773331/
421171,Каша Fleur Alpine молочная рисовая 200г с 4месяцев,569.0,351.0,https://www.detmir.ru/product/index/id/421171/
3112491,Пюре Gerber говядина 80г с 6месяцев,209.0,148.9,https://www.detmir.ru/product/index/id/3112491/
